MiDAS Daily RMS peaks — 20260612
Total: 746 events
RMS: ch 1281-1377 (below ~300 m), bandpass 1-20 Hz
RMS stats  mean=2.5336  std=0.8280  min=1.1575  Q25=1.8357  median=2.4441  Q75=3.0659  max=9.0502
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label
----------------------------------------------------------
000  2026-06-12 08:03:23    3.3117        noise
001  2026-06-12 08:05:57    2.6287        up
002  2026-06-12 08:07:40    3.3556        down
003  2026-06-12 08:07:59    2.8990        noise
004  2026-06-12 08:09:52    1.9593        noise
005  2026-06-12 08:10:43    2.9787        noise
006  2026-06-12 08:11:12    2.3322        noise
007  2026-06-12 08:12:14    2.1002        noise
008  2026-06-12 08:14:09    2.7882        noise
009  2026-06-12 08:17:16    2.5815        down
010  2026-06-12 08:17:56    2.3613        down
011  2026-06-12 08:18:49    2.7048        noise
012  2026-06-12 08:20:11    2.6960        noise
013  2026-06-12 08:21:58    2.7415        noise
014  2026-06-12 08:24:35    2.4792        down
015  2026-06-12 08:24:48    3.5051        noise
016  2026-06-12 08:26:20    2.7632        down
017  2026-06-12 08:26:48    2.6836        noise
018  2026-06-12 08:28:10    2.4306        down
019  2026-06-12 08:28:54    2.9394        noise
020  2026-06-12 08:29:06    2.7943        down
021  2026-06-12 08:29:31    3.0822        noise
022  2026-06-12 08:31:44    2.8861        noise
023  2026-06-12 08:33:29    2.2476        noise
024  2026-06-12 08:34:01    2.3497        down
025  2026-06-12 08:34:17    2.9819        noise
026  2026-06-12 08:37:00    3.0198        noise
027  2026-06-12 08:42:03    2.3267        down
028  2026-06-12 08:42:44    2.7291        noise
029  2026-06-12 08:43:23    3.0299        noise
030  2026-06-12 08:44:47    3.6734        noise
031  2026-06-12 08:45:47    3.0852        noise
032  2026-06-12 08:46:40    2.8359        down
033  2026-06-12 08:47:45    2.9936        down
034  2026-06-12 08:47:59    3.8888        noise
035  2026-06-12 08:48:44    3.1725        noise
036  2026-06-12 08:49:06    3.0365        down
037  2026-06-12 08:49:44    3.6220        noise
038  2026-06-12 08:51:12    3.0663        noise
039  2026-06-12 08:51:24    3.1724        noise
040  2026-06-12 08:52:33    2.5122        noise
041  2026-06-12 08:52:48    2.5552        noise
042  2026-06-12 08:53:13    2.9376        noise
043  2026-06-12 08:54:48    3.5337        noise
044  2026-06-12 08:56:46    2.3337        down
045  2026-06-12 08:59:04    2.9512        down
046  2026-06-12 09:01:19    2.9048        noise
047  2026-06-12 09:01:37    3.4026        noise
048  2026-06-12 09:02:07    3.0646        noise
049  2026-06-12 09:03:11    2.6975        noise
050  2026-06-12 09:04:09    2.6499        noise
051  2026-06-12 09:04:32    2.9882        noise
052  2026-06-12 09:05:29    2.2984        noise
053  2026-06-12 09:06:56    3.4145        noise
054  2026-06-12 09:08:49    2.6079        noise
055  2026-06-12 09:09:28    2.6798        noise
056  2026-06-12 09:10:15    2.9848        noise
057  2026-06-12 09:11:35    3.0193        down
058  2026-06-12 09:11:54    3.7798        noise
